,scores
0,0.3179999928921461
1,0.42999999038875103
2,0.4224999905563891
3,0.7269999837502837
4,1.142499974463135
5,1.2224999726749957
6,1.3304999702610076
7,2.044999954290688
8,2.253999949619174
9,2.4299999456852674
10,2.958999933861196
11,3.740999916382134
12,3.6109999192878606
13,4.270999904535711
14,4.315999903529883
15,5.071999886631966
16,4.357499902602285
17,4.645999896153808
18,5.547499876003712
19,4.476999899931252
20,4.558999898098409
21,4.295499903988093
22,5.292499881703407
23,4.913499890174717
24,5.968999866582453
25,6.461999855563045
26,5.554499875847251
27,5.950999866984785
28,7.316999836452306
29,8.808999803103507
30,7.0479998424649235
31,8.1954998168163
32,6.231499860715121
33,7.2194998386316005
34,7.3654998353682455
35,9.002999798767268
36,10.08199977464974
37,8.422499811742455
38,8.374499812815339
39,11.432499744463712
40,12.449499721731991
41,10.06149977510795
42,11.702499738428742
43,10.587499763350934
44,14.179499683063478
45,13.132999706454575
46,12.847999712824821
47,13.847499690484256
48,13.813499691244214
49,13.497999698296189
50,14.061499685700984
51,15.408499655593186
52,15.794499646965415
53,14.416499677766115
54,15.1289996618405
55,13.830999690853059
56,16.72649962613359
57,13.91099968906492
58,13.400999700464308
59,15.749999647960067
60,16.704999626614153
61,14.709499671217054
62,16.027999641746284
63,17.225499614980073
64,16.885999622568487
65,16.536999630369245
66,17.043999619036914
67,16.428999632783235
68,16.85849962318316
69,17.032999619282783
70,17.924499599356203
71,17.201999615505336
72,17.831499601434917
73,17.805499602016063
74,18.180999593622982
75,18.096499595511705
76,18.385999589040875
77,18.068499596137553
78,18.289499591197817
79,17.965499598439784
80,17.72649960378185
81,17.828999601490796
82,17.947499598842114
83,17.310499613080175
84,18.589499584492295
85,18.05349959647283
86,17.570499607268722
87,16.894499622378497
88,17.201499615516514
89,17.100999617762863
90,15.871999645233155
91,17.235499614756556
92,17.138999616913498
93,16.580499629396947
94,16.185499638225885
95,17.740999603457748
96,18.094499595556407
97,16.93949962137267
98,17.910999599657952
99,17.709999604150653
100,18.464999587275088
101,17.242999614588918
102,17.498499608878046
103,18.14699959438294
104,18.02949959700927
105,18.67849958250299
106,18.655999583005904
107,18.783999580144883
108,18.883499577920883
109,18.81649957941845
110,18.400499588716777
111,18.984499575663357
112,18.927499576937407
113,18.257499591913074
114,18.24499959219247
115,18.785999580100178
116,18.690999582223593
117,18.58999958448112
118,18.30649959081784
119,18.470499587152155
120,18.431999588012694
121,18.181499593611807
122,18.267999591678382
123,18.7014995819889
124,19.03449957454577
125,18.76549958055839
126,18.634499583486466
127,18.09099959563464
128,18.033499596919864
129,18.1999995931983
130,18.53299958575517
131,17.936499599087984
132,18.49899958651513
133,18.732999581284822
134,17.570499607268722
135,17.76999960280955
136,18.028499597031622
137,17.689999604597688
138,17.5389996079728
139,18.171999593824147
140,17.514499608520417
141,18.45649958746508
142,17.631499605905265
143,17.357999612018467
144,18.190499593410642
145,18.24849959211424
146,18.89999957755208
147,18.555499585252257
148,18.60699958410114
149,18.36249958956614
150,18.816999579407273
151,18.681499582435936
152,18.697999582067133
153,18.588499584514647
154,18.423499588202684
155,17.9699995983392
156,17.8684996006079
